epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16753,1.11664,0.80211,1.24147,0.87676,0.83688,0.90544,0.64488,1.00386,0.61832,1.20784,0.005842,0.005842,0.005842
44,17140.7,1.11072,0.79305,1.23652,0.90731,0.8232,0.90631,0.64999,0.98926,0.61843,1.19025,0.005743,0.005743,0.005743
45,17529.7,1.10654,0.79333,1.23588,0.88824,0.83827,0.90696,0.65041,0.99993,0.62072,1.19904,0.005644,0.005644,0.005644
46,17917.1,1.10853,0.7908,1.23418,0.8868,0.82785,0.90697,0.65138,0.99318,0.61102,1.18811,0.005545,0.005545,0.005545
47,18304.7,1.09523,0.78092,1.2317,0.8783,0.83428,0.90408,0.65367,0.99287,0.62132,1.18862,0.005446,0.005446,0.005446
48,18693.3,1.09686,0.77634,1.22952,0.87374,0.84075,0.90523,0.65516,1.0039,0.6135,1.19353,0.005347,0.005347,0.005347
49,19080.6,1.08497,0.767,1.22309,0.86739,0.85325,0.90564,0.6519,0.99034,0.60647,1.19063,0.005248,0.005248,0.005248
50,19469.1,1.08069,0.76183,1.21555,0.89462,0.82916,0.90207,0.65058,0.98368,0.60447,1.18245,0.005149,0.005149,0.005149
51,19857.2,1.07103,0.75423,1.21298,0.88286,0.83184,0.90243,0.65229,0.96752,0.60214,1.17886,0.00505,0.00505,0.00505
52,20244.7,1.06569,0.75607,1.21299,0.88208,0.84165,0.90635,0.6575,0.97141,0.60062,1.18044,0.004951,0.004951,0.004951
53,20633,1.0557,0.74002,1.20509,0.87576,0.84433,0.90557,0.65586,0.98073,0.59262,1.18059,0.004852,0.004852,0.004852
54,21020,1.05564,0.74178,1.20465,0.88683,0.83452,0.90151,0.65331,0.98082,0.59769,1.18173,0.004753,0.004753,0.004753
55,21408.7,1.05257,0.73349,1.20361,0.88971,0.84103,0.90548,0.65386,0.97337,0.59621,1.17602,0.004654,0.004654,0.004654
56,21799.8,1.05242,0.73007,1.20241,0.89519,0.84433,0.9061,0.65956,0.96649,0.59553,1.17727,0.004555,0.004555,0.004555
57,22189.4,1.04548,0.72524,1.1979,0.90028,0.83552,0.90677,0.65836,0.96835,0.597,1.17727,0.004456,0.004456,0.004456
58,22581,1.04203,0.71434,1.19075,0.89523,0.84114,0.90881,0.66027,0.97091,0.58473,1.17631,0.004357,0.004357,0.004357
59,22971,1.03531,0.70955,1.19085,0.89515,0.84076,0.90905,0.66055,0.97388,0.58287,1.17792,0.004258,0.004258,0.004258
60,23361.2,1.02343,0.70269,1.18329,0.88431,0.84827,0.90801,0.65979,0.97628,0.58086,1.17858,0.004159,0.004159,0.004159
61,23752.2,1.02349,0.70182,1.18546,0.87818,0.85219,0.90638,0.65941,0.97941,0.5823,1.17731,0.00406,0.00406,0.00406
62,24143,1.02406,0.70476,1.18555,0.88997,0.84376,0.90966,0.65998,0.97546,0.57496,1.1758,0.003961,0.003961,0.003961
63,24533.2,1.0237,0.69656,1.18278,0.8899,0.84019,0.9093,0.66059,0.97285,0.5765,1.17569,0.003862,0.003862,0.003862
64,24924.6,1.016,0.69142,1.17934,0.89362,0.83856,0.90722,0.66139,0.97034,0.57439,1.17097,0.003763,0.003763,0.003763
